request,response,result
01 01 00 00 00 64 3D E1 ,01 01 0D 19 20 08 07 11 90 00 82 02 40 C2 C0 04 C0 D0 ,19 20 08 07 11 90 00 82 02 40 C2 C0 04
01 01 00 00 00 64 3D E1 ,01 01 0D 19 20 08 07 11 90 00 82 02 40 C2 C0 04 C0 D0 ,19 20 08 07 11 90 00 82 02 40 C2 C0 04
01 01 00 00 00 64 3D E1 ,01 01 0D 19 20 08 07 11 90 00 82 02 40 C2 C0 04 C0 D0 ,19 20 08 07 11 90 00 82 02 40 C2 C0 04
01 01 00 00 00 64 3D E1 ,01 01 0D 19 20 08 07 11 90 00 82 02 40 C2 C0 04 C0 D0 ,19 20 08 07 11 90 00 82 02 40 C2 C0 04
01 01 00 00 00 64 3D E1 ,01 01 0D E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B C1 EB ,E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B
01 01 00 00 00 64 3D E1 ,01 01 0D E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B C1 EB ,E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B
01 01 00 00 00 64 3D E1 ,01 01 0D E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B C1 EB ,E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B
01 01 00 00 00 64 3D E1 ,01 01 0D E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B C1 EB ,E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B
01 01 00 00 00 64 3D E1 ,01 01 0D 19 20 08 07 11 90 00 82 02 40 C2 C0 04 C0 D0 ,19 20 08 07 11 90 00 82 02 40 C2 C0 04
01 01 00 00 00 64 3D E1 ,01 01 0D 19 20 08 07 11 90 00 82 02 40 C2 C0 04 C0 D0 ,19 20 08 07 11 90 00 82 02 40 C2 C0 04
01 01 00 00 00 64 3D E1 ,01 01 0D 19 20 08 07 11 90 00 82 02 40 C2 C0 04 C0 D0 ,19 20 08 07 11 90 00 82 02 40 C2 C0 04
01 01 00 00 00 64 3D E1 ,01 01 0D 19 20 08 07 11 90 00 82 02 40 C2 C0 04 C0 D0 ,19 20 08 07 11 90 00 82 02 40 C2 C0 04
01 01 00 00 00 64 3D E1 ,01 01 0D 19 20 08 07 11 90 00 82 02 40 C2 C0 04 C0 D0 ,19 20 08 07 11 90 00 82 02 40 C2 C0 04
01 01 00 00 00 64 3D E1 ,01 01 0D E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B C1 EB ,E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B
01 01 00 00 00 64 3D E1 ,01 01 0D E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B C1 EB ,E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B
01 01 00 00 00 64 3D E1 ,01 01 0D E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B C1 EB ,E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B
01 01 00 00 00 64 3D E1 ,01 01 0D E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B C1 EB ,E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B
