request,reponse,result
0C 47 00 00 00 06 01 01 00 00 00 64 ,0C 47 00 00 00 10 01 01 0D 19 20 08 07 11 90 00 82 02 40 C2 C0 04 ,19 20 08 07 11 90 00 82 02 40 C2 C0 04
0C 48 00 00 00 06 01 01 00 00 00 64 ,0C 48 00 00 00 10 01 01 0D E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B ,E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B
0C 49 00 00 00 06 01 01 00 00 00 64 ,0C 49 00 00 00 10 01 01 0D 19 20 08 07 11 90 00 82 02 40 C2 C0 04 ,19 20 08 07 11 90 00 82 02 40 C2 C0 04
0C 4A 00 00 00 06 01 01 00 00 00 64 ,0C 4A 00 00 00 10 01 01 0D E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B ,E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B
0C 4B 00 00 00 06 01 01 00 00 00 64 ,0C 4B 00 00 00 10 01 01 0D 19 20 08 07 11 90 00 82 02 40 C2 C0 04 ,19 20 08 07 11 90 00 82 02 40 C2 C0 04
0C 4C 00 00 00 06 01 01 00 00 00 64 ,0C 4C 00 00 00 10 01 01 0D E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B ,E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B
0C 4D 00 00 00 06 01 01 00 00 00 64 ,0C 4D 00 00 00 10 01 01 0D 19 20 08 07 11 90 00 82 02 40 C2 C0 04 ,19 20 08 07 11 90 00 82 02 40 C2 C0 04
0C 4E 00 00 00 06 01 01 00 00 00 64 ,0C 4E 00 00 00 10 01 01 0D E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B ,E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B
0C 4F 00 00 00 06 01 01 00 00 00 64 ,0C 4F 00 00 00 10 01 01 0D 19 20 08 07 11 90 00 82 02 40 C2 C0 04 ,19 20 08 07 11 90 00 82 02 40 C2 C0 04
0C 50 00 00 00 06 01 01 00 00 00 64 ,0C 50 00 00 00 10 01 01 0D E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B ,E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B
0C 51 00 00 00 06 01 01 00 00 00 64 ,0C 51 00 00 00 10 01 01 0D 19 20 08 07 11 90 00 82 02 40 C2 C0 04 ,19 20 08 07 11 90 00 82 02 40 C2 C0 04
0C 52 00 00 00 06 01 01 00 00 00 64 ,0C 52 00 00 00 10 01 01 0D E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B ,E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B
0C 53 00 00 00 06 01 01 00 00 00 64 ,0C 53 00 00 00 10 01 01 0D 19 20 08 07 11 90 00 82 02 40 C2 C0 04 ,19 20 08 07 11 90 00 82 02 40 C2 C0 04
0C 54 00 00 00 06 01 01 00 00 00 64 ,0C 54 00 00 00 10 01 01 0D E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B ,E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B
0C 55 00 00 00 06 01 01 00 00 00 64 ,0C 55 00 00 00 10 01 01 0D 19 20 08 07 11 90 00 82 02 40 C2 C0 04 ,19 20 08 07 11 90 00 82 02 40 C2 C0 04
0C 56 00 00 00 06 01 01 00 00 00 64 ,0C 56 00 00 00 10 01 01 0D E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B ,E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B
0C 57 00 00 00 06 01 01 00 00 00 64 ,0C 57 00 00 00 10 01 01 0D 19 20 08 07 11 90 00 82 02 40 C2 C0 04 ,19 20 08 07 11 90 00 82 02 40 C2 C0 04
0C 58 00 00 00 06 01 01 00 00 00 64 ,0C 58 00 00 00 10 01 01 0D E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B ,E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B
0C 59 00 00 00 06 01 01 00 00 00 64 ,0C 59 00 00 00 10 01 01 0D 19 20 08 07 11 90 00 82 02 40 C2 C0 04 ,19 20 08 07 11 90 00 82 02 40 C2 C0 04
0C 5A 00 00 00 06 01 01 00 00 00 64 ,0C 5A 00 00 00 10 01 01 0D E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B ,E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B
0C 5B 00 00 00 06 01 01 00 00 00 64 ,0C 5B 00 00 00 10 01 01 0D 19 20 08 07 11 90 00 82 02 40 C2 C0 04 ,19 20 08 07 11 90 00 82 02 40 C2 C0 04
0C 5C 00 00 00 06 01 01 00 00 00 64 ,0C 5C 00 00 00 10 01 01 0D E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B ,E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B
0C 5D 00 00 00 06 01 01 00 00 00 64 ,0C 5D 00 00 00 10 01 01 0D 19 20 08 07 11 90 00 82 02 40 C2 C0 04 ,19 20 08 07 11 90 00 82 02 40 C2 C0 04
0C 5E 00 00 00 06 01 01 00 00 00 64 ,0C 5E 00 00 00 10 01 01 0D E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B ,E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B
0C 5F 00 00 00 06 01 01 00 00 00 64 ,0C 5F 00 00 00 10 01 01 0D 19 20 08 07 11 90 00 82 02 40 C2 C0 04 ,19 20 08 07 11 90 00 82 02 40 C2 C0 04
0C 60 00 00 00 06 01 01 00 00 00 64 ,0C 60 00 00 00 10 01 01 0D E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B ,E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B
0C 61 00 00 00 06 01 01 00 00 00 64 ,0C 61 00 00 00 10 01 01 0D 19 20 08 07 11 90 00 82 02 40 C2 C0 04 ,19 20 08 07 11 90 00 82 02 40 C2 C0 04
0C 62 00 00 00 06 01 01 00 00 00 64 ,0C 62 00 00 00 10 01 01 0D E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B ,E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B
0C 63 00 00 00 06 01 01 00 00 00 64 ,0C 63 00 00 00 10 01 01 0D 19 20 08 07 11 90 00 82 02 40 C2 C0 04 ,19 20 08 07 11 90 00 82 02 40 C2 C0 04
0C 64 00 00 00 06 01 01 00 00 00 64 ,0C 64 00 00 00 10 01 01 0D E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B ,E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B
0C 65 00 00 00 06 01 01 00 00 00 64 ,0C 65 00 00 00 10 01 01 0D 19 20 08 07 11 90 00 82 02 40 C2 C0 04 ,19 20 08 07 11 90 00 82 02 40 C2 C0 04
0C 66 00 00 00 06 01 01 00 00 00 64 ,0C 66 00 00 00 10 01 01 0D E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B ,E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B
0C 67 00 00 00 06 01 01 00 00 00 64 ,0C 67 00 00 00 10 01 01 0D 19 20 08 07 11 90 00 82 02 40 C2 C0 04 ,19 20 08 07 11 90 00 82 02 40 C2 C0 04
0C 68 00 00 00 06 01 01 00 00 00 64 ,0C 68 00 00 00 10 01 01 0D E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B ,E6 DF F7 F8 EE 6F FF 7D FD BF 3D 3F 0B
0C 69 00 00 00 06 01 01 00 00 00 64 ,0C 69 00 00 00 10 01 01 0D 19 20 08 07 11 90 00 82 02 40 C2 C0 04 ,19 20 08 07 11 90 00 82 02 40 C2 C0 04
