request,response,result
10 4A 00 00 00 06 01 04 00 00 00 64 ,10 4A 00 00 00 CB 01 04 C8 01 C5 01 59 01 EF 01 5D 01 EF FF 90 01 EF 00 B6 01 EF 01 B5 01 EF 01 61 02 16 01 EF 80 99 01 B0 80 A1 00 BC 01 1B 01 EF 01 EF 01 51 01 55 01 60 01 EF 01 3A 01 EF 01 B8 01 EF 80 EB 04 7E 01 EF 0C 0F 04 13 01 EF 04 E7 01 EF 01 6C 01 EF 01 E0 01 EF 59 71 01 EF 01 8D 01 EF 02 64 80 91 01 EF 80 8C 01 EF 80 EF F4 3E 01 EF 01 EF 01 EF 01 EF 03 AB 01 EF 01 EF 01 EF 01 EF 01 EF 01 EF 01 EF 80 E2 01 EF 01 92 01 BE 01 EF 01 3B 01 EF 81 20 01 BD 01 20 01 EF F4 41 01 2C 01 EF 01 EF 01 EF 01 EF 80 DD 01 EF 01 B0 FF BB 01 EF 80 E6 01 EF 01 B5 01 EF 01 C2 01 EF 01 EF 01 EF 01 EF 01 EF 01 EF 01 EF 01 EF 01 EF ,01 C5 01 59 01 EF 01 5D 01 EF FF 90 01 EF 00 B6 01 EF 01 B5 01 EF 01 61 02 16 01 EF 80 99 01 B0 80 A1 00 BC 01 1B 01 EF 01 EF 01 51 01 55 01 60 01 EF 01 3A 01 EF 01 B8 01 EF 80 EB 04 7E 01 EF 0C 0F 04 13 01 EF 04 E7 01 EF 01 6C 01 EF 01 E0 01 EF 59 71 01 EF 01 8D 01 EF 02 64 80 91 01 EF 80 8C 01 EF 80 EF F4 3E 01 EF 01 EF 01 EF 01 EF 03 AB 01 EF 01 EF 01 EF 01 EF 01 EF 01 EF 01 EF 80 E2 01 EF 01 92 01 BE 01 EF 01 3B 01 EF 81 20 01 BD 01 20 01 EF F4 41 01 2C 01 EF 01 EF 01 EF 01 EF 80 DD 01 EF 01 B0 FF BB 01 EF 80 E6 01 EF 01 B5 01 EF 01 C2 01 EF 01 EF 01 EF 01 EF 01 EF 01 EF 01 EF 01 EF 01 EF 
10 4B 00 00 00 06 01 04 00 00 00 64 ,10 4B 00 00 00 CB 01 04 C8 01 C6 01 5A 01 F0 01 5E 01 F0 FF 91 01 F0 00 B7 01 F0 01 B6 01 F0 01 62 02 17 01 F0 80 9A 01 B1 80 A2 00 BD 01 1C 01 F0 01 F0 01 52 01 56 01 61 01 F0 01 3B 01 F0 01 B9 01 F0 80 EC 04 7F 01 F0 0C 10 04 14 01 F0 04 E8 01 F0 01 6D 01 F0 01 E1 01 F0 59 72 01 F0 01 8E 01 F0 02 65 80 92 01 F0 80 8D 01 F0 80 F0 F4 3F 01 F0 01 F0 01 F0 01 F0 03 AC 01 F0 01 F0 01 F0 01 F0 01 F0 01 F0 01 F0 80 E3 01 F0 01 93 01 BF 01 F0 01 3C 01 F0 81 21 01 BE 01 21 01 F0 F4 42 01 2D 01 F0 01 F0 01 F0 01 F0 80 DE 01 F0 01 B1 FF BC 01 F0 80 E7 01 F0 01 B6 01 F0 01 C3 01 F0 01 F0 01 F0 01 F0 01 F0 01 F0 01 F0 01 F0 01 F0 ,01 C6 01 5A 01 F0 01 5E 01 F0 FF 91 01 F0 00 B7 01 F0 01 B6 01 F0 01 62 02 17 01 F0 80 9A 01 B1 80 A2 00 BD 01 1C 01 F0 01 F0 01 52 01 56 01 61 01 F0 01 3B 01 F0 01 B9 01 F0 80 EC 04 7F 01 F0 0C 10 04 14 01 F0 04 E8 01 F0 01 6D 01 F0 01 E1 01 F0 59 72 01 F0 01 8E 01 F0 02 65 80 92 01 F0 80 8D 01 F0 80 F0 F4 3F 01 F0 01 F0 01 F0 01 F0 03 AC 01 F0 01 F0 01 F0 01 F0 01 F0 01 F0 01 F0 80 E3 01 F0 01 93 01 BF 01 F0 01 3C 01 F0 81 21 01 BE 01 21 01 F0 F4 42 01 2D 01 F0 01 F0 01 F0 01 F0 80 DE 01 F0 01 B1 FF BC 01 F0 80 E7 01 F0 01 B6 01 F0 01 C3 01 F0 01 F0 01 F0 01 F0 01 F0 01 F0 01 F0 01 F0 01 F0 
10 4C 00 00 00 06 01 04 00 00 00 64 ,10 4C 00 00 00 CB 01 04 C8 01 C7 01 5B 01 F1 01 5F 01 F1 FF 92 01 F1 00 B8 01 F1 01 B7 01 F1 01 63 02 18 01 F1 80 9B 01 B2 80 A3 00 BE 01 1D 01 F1 01 F1 01 53 01 57 01 62 01 F1 01 3C 01 F1 01 BA 01 F1 80 ED 04 80 01 F1 0C 11 04 15 01 F1 04 E9 01 F1 01 6E 01 F1 01 E2 01 F1 59 73 01 F1 01 8F 01 F1 02 66 80 93 01 F1 80 8E 01 F1 80 F1 F4 40 01 F1 01 F1 01 F1 01 F1 03 AD 01 F1 01 F1 01 F1 01 F1 01 F1 01 F1 01 F1 80 E4 01 F1 01 94 01 C0 01 F1 01 3D 01 F1 81 22 01 BF 01 22 01 F1 F4 43 01 2E 01 F1 01 F1 01 F1 01 F1 80 DF 01 F1 01 B2 FF BD 01 F1 80 E8 01 F1 01 B7 01 F1 01 C4 01 F1 01 F1 01 F1 01 F1 01 F1 01 F1 01 F1 01 F1 01 F1 ,01 C7 01 5B 01 F1 01 5F 01 F1 FF 92 01 F1 00 B8 01 F1 01 B7 01 F1 01 63 02 18 01 F1 80 9B 01 B2 80 A3 00 BE 01 1D 01 F1 01 F1 01 53 01 57 01 62 01 F1 01 3C 01 F1 01 BA 01 F1 80 ED 04 80 01 F1 0C 11 04 15 01 F1 04 E9 01 F1 01 6E 01 F1 01 E2 01 F1 59 73 01 F1 01 8F 01 F1 02 66 80 93 01 F1 80 8E 01 F1 80 F1 F4 40 01 F1 01 F1 01 F1 01 F1 03 AD 01 F1 01 F1 01 F1 01 F1 01 F1 01 F1 01 F1 80 E4 01 F1 01 94 01 C0 01 F1 01 3D 01 F1 81 22 01 BF 01 22 01 F1 F4 43 01 2E 01 F1 01 F1 01 F1 01 F1 80 DF 01 F1 01 B2 FF BD 01 F1 80 E8 01 F1 01 B7 01 F1 01 C4 01 F1 01 F1 01 F1 01 F1 01 F1 01 F1 01 F1 01 F1 01 F1 
10 4D 00 00 00 06 01 04 00 00 00 64 ,10 4D 00 00 00 CB 01 04 C8 01 C8 01 5C 01 F2 01 60 01 F2 FF 93 01 F2 00 B9 01 F2 01 B8 01 F2 01 64 02 19 01 F2 80 9C 01 B3 80 A4 00 BF 01 1E 01 F2 01 F2 01 54 01 58 01 63 01 F2 01 3D 01 F2 01 BB 01 F2 80 EE 04 81 01 F2 0C 12 04 16 01 F2 04 EA 01 F2 01 6F 01 F2 01 E3 01 F2 59 74 01 F2 01 90 01 F2 02 67 80 94 01 F2 80 8F 01 F2 80 F2 F4 41 01 F2 01 F2 01 F2 01 F2 03 AE 01 F2 01 F2 01 F2 01 F2 01 F2 01 F2 01 F2 80 E5 01 F2 01 95 01 C1 01 F2 01 3E 01 F2 81 23 01 C0 01 23 01 F2 F4 44 01 2F 01 F2 01 F2 01 F2 01 F2 80 E0 01 F2 01 B3 FF BE 01 F2 80 E9 01 F2 01 B8 01 F2 01 C5 01 F2 01 F2 01 F2 01 F2 01 F2 01 F2 01 F2 01 F2 01 F2 ,01 C8 01 5C 01 F2 01 60 01 F2 FF 93 01 F2 00 B9 01 F2 01 B8 01 F2 01 64 02 19 01 F2 80 9C 01 B3 80 A4 00 BF 01 1E 01 F2 01 F2 01 54 01 58 01 63 01 F2 01 3D 01 F2 01 BB 01 F2 80 EE 04 81 01 F2 0C 12 04 16 01 F2 04 EA 01 F2 01 6F 01 F2 01 E3 01 F2 59 74 01 F2 01 90 01 F2 02 67 80 94 01 F2 80 8F 01 F2 80 F2 F4 41 01 F2 01 F2 01 F2 01 F2 03 AE 01 F2 01 F2 01 F2 01 F2 01 F2 01 F2 01 F2 80 E5 01 F2 01 95 01 C1 01 F2 01 3E 01 F2 81 23 01 C0 01 23 01 F2 F4 44 01 2F 01 F2 01 F2 01 F2 01 F2 80 E0 01 F2 01 B3 FF BE 01 F2 80 E9 01 F2 01 B8 01 F2 01 C5 01 F2 01 F2 01 F2 01 F2 01 F2 01 F2 01 F2 01 F2 01 F2 
10 4E 00 00 00 06 01 04 00 00 00 64 ,10 4E 00 00 00 CB 01 04 C8 01 C9 01 5D 01 F3 01 61 01 F3 FF 94 01 F3 00 BA 01 F3 01 B9 01 F3 01 65 02 1A 01 F3 80 9D 01 B4 80 A5 00 C0 01 1F 01 F3 01 F3 01 55 01 59 01 64 01 F3 01 3E 01 F3 01 BC 01 F3 80 EF 04 82 01 F3 0C 13 04 17 01 F3 04 EB 01 F3 01 70 01 F3 01 E4 01 F3 59 75 01 F3 01 91 01 F3 02 68 80 95 01 F3 80 90 01 F3 80 F3 F4 42 01 F3 01 F3 01 F3 01 F3 03 AF 01 F3 01 F3 01 F3 01 F3 01 F3 01 F3 01 F3 80 E6 01 F3 01 96 01 C2 01 F3 01 3F 01 F3 81 24 01 C1 01 24 01 F3 F4 45 01 30 01 F3 01 F3 01 F3 01 F3 80 E1 01 F3 01 B4 FF BF 01 F3 80 EA 01 F3 01 B9 01 F3 01 C6 01 F3 01 F3 01 F3 01 F3 01 F3 01 F3 01 F3 01 F3 01 F3 ,01 C9 01 5D 01 F3 01 61 01 F3 FF 94 01 F3 00 BA 01 F3 01 B9 01 F3 01 65 02 1A 01 F3 80 9D 01 B4 80 A5 00 C0 01 1F 01 F3 01 F3 01 55 01 59 01 64 01 F3 01 3E 01 F3 01 BC 01 F3 80 EF 04 82 01 F3 0C 13 04 17 01 F3 04 EB 01 F3 01 70 01 F3 01 E4 01 F3 59 75 01 F3 01 91 01 F3 02 68 80 95 01 F3 80 90 01 F3 80 F3 F4 42 01 F3 01 F3 01 F3 01 F3 03 AF 01 F3 01 F3 01 F3 01 F3 01 F3 01 F3 01 F3 80 E6 01 F3 01 96 01 C2 01 F3 01 3F 01 F3 81 24 01 C1 01 24 01 F3 F4 45 01 30 01 F3 01 F3 01 F3 01 F3 80 E1 01 F3 01 B4 FF BF 01 F3 80 EA 01 F3 01 B9 01 F3 01 C6 01 F3 01 F3 01 F3 01 F3 01 F3 01 F3 01 F3 01 F3 01 F3 
10 4F 00 00 00 06 01 04 00 00 00 64 ,10 4F 00 00 00 CB 01 04 C8 01 CA 01 5E 01 F4 01 62 01 F4 FF 95 01 F4 00 BB 01 F4 01 BA 01 F4 01 66 02 1B 01 F4 80 9E 01 B5 80 A6 00 C1 01 20 01 F4 01 F4 01 56 01 5A 01 65 01 F4 01 3F 01 F4 01 BD 01 F4 80 F0 04 83 01 F4 0C 14 04 18 01 F4 04 EC 01 F4 01 71 01 F4 01 E5 01 F4 59 76 01 F4 01 92 01 F4 02 69 80 96 01 F4 80 91 01 F4 80 F4 F4 43 01 F4 01 F4 01 F4 01 F4 03 B0 01 F4 01 F4 01 F4 01 F4 01 F4 01 F4 01 F4 80 E7 01 F4 01 97 01 C3 01 F4 01 40 01 F4 81 25 01 C2 01 25 01 F4 F4 46 01 31 01 F4 01 F4 01 F4 01 F4 80 E2 01 F4 01 B5 FF C0 01 F4 80 EB 01 F4 01 BA 01 F4 01 C7 01 F4 01 F4 01 F4 01 F4 01 F4 01 F4 01 F4 01 F4 01 F4 ,01 CA 01 5E 01 F4 01 62 01 F4 FF 95 01 F4 00 BB 01 F4 01 BA 01 F4 01 66 02 1B 01 F4 80 9E 01 B5 80 A6 00 C1 01 20 01 F4 01 F4 01 56 01 5A 01 65 01 F4 01 3F 01 F4 01 BD 01 F4 80 F0 04 83 01 F4 0C 14 04 18 01 F4 04 EC 01 F4 01 71 01 F4 01 E5 01 F4 59 76 01 F4 01 92 01 F4 02 69 80 96 01 F4 80 91 01 F4 80 F4 F4 43 01 F4 01 F4 01 F4 01 F4 03 B0 01 F4 01 F4 01 F4 01 F4 01 F4 01 F4 01 F4 80 E7 01 F4 01 97 01 C3 01 F4 01 40 01 F4 81 25 01 C2 01 25 01 F4 F4 46 01 31 01 F4 01 F4 01 F4 01 F4 80 E2 01 F4 01 B5 FF C0 01 F4 80 EB 01 F4 01 BA 01 F4 01 C7 01 F4 01 F4 01 F4 01 F4 01 F4 01 F4 01 F4 01 F4 01 F4 
10 50 00 00 00 06 01 04 00 00 00 64 ,10 50 00 00 00 CB 01 04 C8 01 CB 01 5F 01 F5 01 63 01 F5 FF 96 01 F5 00 BC 01 F5 01 BB 01 F5 01 67 02 1C 01 F5 80 9F 01 B6 80 A7 00 C2 01 21 01 F5 01 F5 01 57 01 5B 01 66 01 F5 01 40 01 F5 01 BE 01 F5 80 F1 04 84 01 F5 0C 15 04 19 01 F5 04 ED 01 F5 01 72 01 F5 01 E6 01 F5 59 77 01 F5 01 93 01 F5 02 6A 80 97 01 F5 80 92 01 F5 80 F5 F4 44 01 F5 01 F5 01 F5 01 F5 03 B1 01 F5 01 F5 01 F5 01 F5 01 F5 01 F5 01 F5 80 E8 01 F5 01 98 01 C4 01 F5 01 41 01 F5 81 26 01 C3 01 26 01 F5 F4 47 01 32 01 F5 01 F5 01 F5 01 F5 80 E3 01 F5 01 B6 FF C1 01 F5 80 EC 01 F5 01 BB 01 F5 01 C8 01 F5 01 F5 01 F5 01 F5 01 F5 01 F5 01 F5 01 F5 01 F5 ,01 CB 01 5F 01 F5 01 63 01 F5 FF 96 01 F5 00 BC 01 F5 01 BB 01 F5 01 67 02 1C 01 F5 80 9F 01 B6 80 A7 00 C2 01 21 01 F5 01 F5 01 57 01 5B 01 66 01 F5 01 40 01 F5 01 BE 01 F5 80 F1 04 84 01 F5 0C 15 04 19 01 F5 04 ED 01 F5 01 72 01 F5 01 E6 01 F5 59 77 01 F5 01 93 01 F5 02 6A 80 97 01 F5 80 92 01 F5 80 F5 F4 44 01 F5 01 F5 01 F5 01 F5 03 B1 01 F5 01 F5 01 F5 01 F5 01 F5 01 F5 01 F5 80 E8 01 F5 01 98 01 C4 01 F5 01 41 01 F5 81 26 01 C3 01 26 01 F5 F4 47 01 32 01 F5 01 F5 01 F5 01 F5 80 E3 01 F5 01 B6 FF C1 01 F5 80 EC 01 F5 01 BB 01 F5 01 C8 01 F5 01 F5 01 F5 01 F5 01 F5 01 F5 01 F5 01 F5 01 F5 
10 51 00 00 00 06 01 04 00 00 00 64 ,10 51 00 00 00 CB 01 04 C8 01 CC 01 60 01 F6 01 64 01 F6 FF 97 01 F6 00 BD 01 F6 01 BC 01 F6 01 68 02 1D 01 F6 80 A0 01 B7 80 A8 00 C3 01 22 01 F6 01 F6 01 58 01 5C 01 67 01 F6 01 41 01 F6 01 BF 01 F6 80 F2 04 85 01 F6 0C 16 04 1A 01 F6 04 EE 01 F6 01 73 01 F6 01 E7 01 F6 59 78 01 F6 01 94 01 F6 02 6B 80 98 01 F6 80 93 01 F6 80 F6 F4 45 01 F6 01 F6 01 F6 01 F6 03 B2 01 F6 01 F6 01 F6 01 F6 01 F6 01 F6 01 F6 80 E9 01 F6 01 99 01 C5 01 F6 01 42 01 F6 81 27 01 C4 01 27 01 F6 F4 48 01 33 01 F6 01 F6 01 F6 01 F6 80 E4 01 F6 01 B7 FF C2 01 F6 80 ED 01 F6 01 BC 01 F6 01 C9 01 F6 01 F6 01 F6 01 F6 01 F6 01 F6 01 F6 01 F6 01 F6 ,01 CC 01 60 01 F6 01 64 01 F6 FF 97 01 F6 00 BD 01 F6 01 BC 01 F6 01 68 02 1D 01 F6 80 A0 01 B7 80 A8 00 C3 01 22 01 F6 01 F6 01 58 01 5C 01 67 01 F6 01 41 01 F6 01 BF 01 F6 80 F2 04 85 01 F6 0C 16 04 1A 01 F6 04 EE 01 F6 01 73 01 F6 01 E7 01 F6 59 78 01 F6 01 94 01 F6 02 6B 80 98 01 F6 80 93 01 F6 80 F6 F4 45 01 F6 01 F6 01 F6 01 F6 03 B2 01 F6 01 F6 01 F6 01 F6 01 F6 01 F6 01 F6 80 E9 01 F6 01 99 01 C5 01 F6 01 42 01 F6 81 27 01 C4 01 27 01 F6 F4 48 01 33 01 F6 01 F6 01 F6 01 F6 80 E4 01 F6 01 B7 FF C2 01 F6 80 ED 01 F6 01 BC 01 F6 01 C9 01 F6 01 F6 01 F6 01 F6 01 F6 01 F6 01 F6 01 F6 01 F6 
10 52 00 00 00 06 01 04 00 00 00 64 ,10 52 00 00 00 CB 01 04 C8 01 CD 01 61 01 F7 01 65 01 F7 FF 98 01 F7 00 BE 01 F7 01 BD 01 F7 01 69 02 1E 01 F7 80 A1 01 B8 80 A9 00 C4 01 23 01 F7 01 F7 01 59 01 5D 01 68 01 F7 01 42 01 F7 01 C0 01 F7 80 F3 04 86 01 F7 0C 17 04 1B 01 F7 04 EF 01 F7 01 74 01 F7 01 E8 01 F7 59 79 01 F7 01 95 01 F7 02 6C 80 99 01 F7 80 94 01 F7 80 F7 F4 46 01 F7 01 F7 01 F7 01 F7 03 B3 01 F7 01 F7 01 F7 01 F7 01 F7 01 F7 01 F7 80 EA 01 F7 01 9A 01 C6 01 F7 01 43 01 F7 81 28 01 C5 01 28 01 F7 F4 49 01 34 01 F7 01 F7 01 F7 01 F7 80 E5 01 F7 01 B8 FF C3 01 F7 80 EE 01 F7 01 BD 01 F7 01 CA 01 F7 01 F7 01 F7 01 F7 01 F7 01 F7 01 F7 01 F7 01 F7 ,01 CD 01 61 01 F7 01 65 01 F7 FF 98 01 F7 00 BE 01 F7 01 BD 01 F7 01 69 02 1E 01 F7 80 A1 01 B8 80 A9 00 C4 01 23 01 F7 01 F7 01 59 01 5D 01 68 01 F7 01 42 01 F7 01 C0 01 F7 80 F3 04 86 01 F7 0C 17 04 1B 01 F7 04 EF 01 F7 01 74 01 F7 01 E8 01 F7 59 79 01 F7 01 95 01 F7 02 6C 80 99 01 F7 80 94 01 F7 80 F7 F4 46 01 F7 01 F7 01 F7 01 F7 03 B3 01 F7 01 F7 01 F7 01 F7 01 F7 01 F7 01 F7 80 EA 01 F7 01 9A 01 C6 01 F7 01 43 01 F7 81 28 01 C5 01 28 01 F7 F4 49 01 34 01 F7 01 F7 01 F7 01 F7 80 E5 01 F7 01 B8 FF C3 01 F7 80 EE 01 F7 01 BD 01 F7 01 CA 01 F7 01 F7 01 F7 01 F7 01 F7 01 F7 01 F7 01 F7 01 F7 
10 53 00 00 00 06 01 04 00 00 00 64 ,10 53 00 00 00 CB 01 04 C8 01 CE 01 62 01 F8 01 66 01 F8 FF 99 01 F8 00 BF 01 F8 01 BE 01 F8 01 6A 02 1F 01 F8 80 A2 01 B9 80 AA 00 C5 01 24 01 F8 01 F8 01 5A 01 5E 01 69 01 F8 01 43 01 F8 01 C1 01 F8 80 F4 04 87 01 F8 0C 18 04 1C 01 F8 04 F0 01 F8 01 75 01 F8 01 E9 01 F8 59 7A 01 F8 01 96 01 F8 02 6D 80 9A 01 F8 80 95 01 F8 80 F8 F4 47 01 F8 01 F8 01 F8 01 F8 03 B4 01 F8 01 F8 01 F8 01 F8 01 F8 01 F8 01 F8 80 EB 01 F8 01 9B 01 C7 01 F8 01 44 01 F8 81 29 01 C6 01 29 01 F8 F4 4A 01 35 01 F8 01 F8 01 F8 01 F8 80 E6 01 F8 01 B9 FF C4 01 F8 80 EF 01 F8 01 BE 01 F8 01 CB 01 F8 01 F8 01 F8 01 F8 01 F8 01 F8 01 F8 01 F8 01 F8 ,01 CE 01 62 01 F8 01 66 01 F8 FF 99 01 F8 00 BF 01 F8 01 BE 01 F8 01 6A 02 1F 01 F8 80 A2 01 B9 80 AA 00 C5 01 24 01 F8 01 F8 01 5A 01 5E 01 69 01 F8 01 43 01 F8 01 C1 01 F8 80 F4 04 87 01 F8 0C 18 04 1C 01 F8 04 F0 01 F8 01 75 01 F8 01 E9 01 F8 59 7A 01 F8 01 96 01 F8 02 6D 80 9A 01 F8 80 95 01 F8 80 F8 F4 47 01 F8 01 F8 01 F8 01 F8 03 B4 01 F8 01 F8 01 F8 01 F8 01 F8 01 F8 01 F8 80 EB 01 F8 01 9B 01 C7 01 F8 01 44 01 F8 81 29 01 C6 01 29 01 F8 F4 4A 01 35 01 F8 01 F8 01 F8 01 F8 80 E6 01 F8 01 B9 FF C4 01 F8 80 EF 01 F8 01 BE 01 F8 01 CB 01 F8 01 F8 01 F8 01 F8 01 F8 01 F8 01 F8 01 F8 01 F8 
